"event_name","category","date","location","link","subpage_title","subpage_status","event_description","subpage_venue","street_address","postal_code","city","event_duration_type","image_url","image_file","lat","lon"
"Pitbull: I'm Back!","Music","Jun 23","3Arena","https://www.visitstockholm.com/events/pitbull-im-back-tour/next/","Pitbull: I'm Back!",200,"On June 23rd 2026, Pitbull will kick off his European tour, I’m Back!, at the 3Arena in Stockholm.","3Arena","Arenaslingan 14","121 77","Johanneshov","Single-day event","https://www.visitstockholm.com/media/images/pitbull-im-back-tour.7554b697.fill-1200x628.jpg","event_images/event_23.jpg","59.2918230","18.0824050"
"Lenny Kravitz Live 2026 - Avicii Arena","Music","Jul 24","Avicii Arena","https://www.visitstockholm.com/events/lenny-kravitz-live-2026-avicii-arena/next/","Lenny Kravitz Live 2026 - Avicii Arena",200,"Lenny Kravitz arrives at Avicii Arena in Stockholm on July 24, 2026, for a major arena show. Fans can expect a spectacular concert featuring tracks from his new album as well as classics from his career. It will be a unique live experience of rock, soul, and energy on stage.","Avicii Arena","Arenatorget","121 77","Johanneshov","Single-day event","https://www.visitstockholm.com/media/images/lenny-kravitz-live-2026-avicii-ar.2e16d0ba.fill-1200x628.jpg","event_images/event_26.jpg","59.2929254","18.0824552"
"Exhibition programme x Art Notes Fredrik Wretman | Apichaya Wanthiang","Exhibitions","Jun 17","Artipelag","https://www.visitstockholm.com/events/exhibition-programme-x-art-notes-fredrik-wretman-a/next/","Exhibition programme x Art Notes Fredrik Wretman | Apichaya Wanthiang",200,"Artipelag is once again presenting its popular exhibition programme in collaboration with Art Notes. This time, the programme takes its starting point in the solo exhibitions Fredrik Wretman – I C 3 D 2 (it’s all in your head) and Apichaya Wanthiang – January 2567.","Artipelag","Artipelagstigen 1","134 40","Gustavsberg","Single-day event","https://www.visitstockholm.com/media/images/exhibition-programme-x-art-notes-.2e16d0ba.fill-1200x628.jpg","event_images/event_7.jpg","59.3069800","18.3520863"
"MUCHA – Beyond Art Nouveau","Exhibitions","Jun 15 - Sep 27","Artipelag","https://www.visitstockholm.com/events/mucha-beyond-art-nouveau/next/","MUCHA – Beyond Art Nouveau",200,"At the turn of the 20th century, Alphonse Mucha was one of the most famous artists in Europe. A key figure of Art Nouveau and the inventor of an original style of graphic art, his work combined female beauty and stylised nature with a resolutely innovative composition and typography. The “Mucha style” has been a source of fascination ever since it was created and was applied to a variety of artworks and objects that adorned art lovers’ homes around the world at the time. Welcome to an immersive experience for all ages!","Artipelag","Artipelagstigen 1","134 40","Gustavsberg","Multi-day event","https://www.visitstockholm.com/media/images/Mucha_web_puff.6e0389ca.fill-1200x628.jpg","event_images/event_16.jpg","59.3069800","18.3520863"
"Outdoor FIFA World Cup Screenings at at Norra Bantorget","Sports & Wellbeing","Jun 15 - Jul 19","Norra Bantorget","https://www.visitstockholm.com/events/football-world-cup-at-norra-bantorget/next/","Outdoor FIFA World Cup Screenings at at Norra Bantorget",200,"All World Cup matches will be shown on a big screen at Norra Latin's schoolyard at Norra Bantorget. There will also be food trucks serving cuisine from the competing nations, music, football activities, and much more! The event is alcohol-free.","Norra Bantorget","Barnhusgatan 16","11123","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/football-world-cup-at-norra-banto.2e16d0ba.fill-1200x628.jpg","event_images/event_19.jpg","59.3359327","18.0554769"
"Nordic Life","Exhibitions","Jun 15 - Dec 31","Nordiska museet","https://www.visitstockholm.com/events/nordic-life/next/","Nordic Life",200,"The museum’s largest ever exhibition initiative presents 4,000 artefacts and images in an epic and visual presentation of Nordic cultural history built on the real objects and stories collected by the museum during 150 years.","Nordiska museet","Djurgårdsvägen 6-16","115 21","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/nordic-life.2e16d0ba.fill-1200x628.jpg","event_images/event_15.jpg","59.3292530","18.0942519"
"Flatenbastun – Lakeside Sauna Experience","Sports & Wellbeing","Jun 15 - Dec 31","Flatenbastun","https://www.visitstockholm.com/events/flatenbastun-lakeside-sauna-experience/next/","Flatenbastun – Lakeside Sauna Experience",200,"Flatenbastun offers a relaxed lakeside sauna experience by Lake Flaten in southern Stockholm. Here, warmth, nature and refreshing swims come together in a social and welcoming setting for both regulars and first-time guests. Open sauna sessions are available year-round and booked in advance via the website. Bring swimwear and towels for a genuine Swedish sauna experience close to nature.","Flatenbastun","Flatenvägen 200","138 31","Skarpnäck","Multi-day event","https://www.visitstockholm.com/media/images/flatenbastun-lakeside-sauna-exper.2e16d0ba.fill-1200x628.jpg","event_images/event_21.jpg","59.2531200","18.1641245"
"Sweden vs. – Tunisia indoor screening with free admission","Sports & Wellbeing","Jun 15","Folkets Hus/House of People","https://www.visitstockholm.com/events/sweden-tunisia-indoor-screening-with-free-admissio/next/","Events",200,NA,NA,NA,NA,NA,"Single-day event",NA,NA,NA,NA
"Vi Älskar Festival 2026","Music","Jun 26 - Jun 27","Gärdet","https://www.visitstockholm.com/events/vi-alskar-festival-2026/next/","Vi Älskar Festival 2026",200,"Sweden’s most beloved nostalgia festival turns 10 and celebrates with its biggest edition yet. On 26–27 June 2026, the festival (previously known as Vi som älskar 90 & 00-talet) takes over Gärdet in Stockholm for two days of music with two stages and its largest lineup ever. Expect iconic hits, dancing under the open sky, sing-alongs, and that special festival atmosphere when thousands come together to celebrate the music they love.","Gärdet","Gärdets Sportfält","115 27","Östermalm","Multi-day event","https://www.visitstockholm.com/media/images/vi-alskar-festival-2026.2e16d0ba.fill-1200x628.jpg","event_images/event_4.jpg",NA,NA
"Texningar by Karl Max Fredrikson","Exhibitions","Jun 15 - Jun 16","Larrys Corner","https://www.visitstockholm.com/events/texningar-by-karl-max-fredrikson/next/","Texningar by Karl Max Fredrikson",200,"Typographic drawings and drawn types by Karl Max Fredrikson at Larrys Corner. Opening 6/6, 2 p.m.","Larrys Corner","Grindsgatan 35","11857","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/texningar-by-karl-max-fredrikson.2e16d0ba.fill-1200x628.jpg","event_images/event_6.jpg","59.3092101","18.0673829"
"Valerie June at Debaser Strand","Music","Jun 15","Debaser Strand","https://www.visitstockholm.com/events/valerie-june-at-debaser-strand/next/","Valerie June at Debaser Strand",200,"Valerie June performs at Debaser Strand on June 15. The Grammy-nominated singer-songwriter is known for her unique blend of folk, soul and americana. With her distinctive voice and poetic songwriting, she has gained international acclaim and collaborated with some of the genre’s most respected artists. Expect a warm, spiritual and atmospheric live performance.","Debaser Strand","Hornstulls strand 4","117 39","Stockholm","Single-day event","https://www.visitstockholm.com/media/images/valerie-june-at-debaser-strand.2e16d0ba.fill-1200x628.jpg","event_images/event_10.jpg","59.3150962","18.0309054"
"The Hornstull Market 2026","Fairs","Jun 27 - Sep 27","Hornstulls Strand","https://www.visitstockholm.com/events/hornstulls-marknad/next/","The Hornstull Market 2026",200,"Hornstulls Marknad is a public market taking place every Saturday and Sunday, from the first weekend of April to the last weekend in September (except for the midsummer weekend in June). Flea, vintage, design, art, crafts, antiques, literature, delicatessen, foodstuffs and much more.","Hornstulls Strand","Hornstulls strand",NA,"Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/the-hornstull-market-2025.2e16d0ba.fill-1200x628.jpg","event_images/event_1.jpg","59.3144212","18.0328135"
