idno,cntry,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,pro_immigration,religiosity,life_satisfaction,satis_economy,satis_government,left_right,gender,age_group,education
18184,BE,high,high,high,high,high,medium,medium,high,high,medium,left,male,30-44,high
22606,BE,medium,medium,high,medium,medium,medium,medium,high,medium,medium,centre,female,45-59,high
23562,BE,medium,high,high,medium,medium,medium,high,high,low,medium,centre,male,30-44,high
17329,BE,high,high,high,medium,medium,high,high,high,low,medium,centre,male,30-44,high
27340,BE,high,low,high,medium,low,medium,medium,high,low,low,centre,female,60+,medium
10445,BE,low,low,medium,low,low,high,high,high,low,medium,centre,female,30-44,high
19203,BE,medium,low,medium,medium,low,low,low,high,medium,high,centre,male,60+,high
26894,BE,high,high,high,high,high,medium,medium,high,high,high,centre,male,18-29,medium
15733,BE,medium,low,low,medium,medium,medium,low,high,high,low,left,male,18-29,medium
21950,BE,medium,medium,high,medium,medium,high,medium,high,high,high,centre,female,60+,low
16525,BE,high,high,high,medium,medium,medium,high,high,high,high,right,male,18-29,medium
20537,BE,medium,medium,high,medium,medium,high,low,high,high,medium,left,female,45-59,medium
24567,BE,medium,medium,high,low,medium,medium,high,high,medium,medium,centre,male,60+,medium
22693,BE,low,high,high,low,low,medium,low,high,high,medium,left,male,45-59,high
13005,BE,high,high,high,high,medium,medium,high,high,high,medium,right,female,45-59,high
13197,BE,low,low,medium,low,low,high,high,high,medium,medium,centre,female,18-29,low
17274,BE,high,high,high,medium,medium,medium,high,high,medium,medium,centre,male,30-44,low
11953,BE,high,high,high,medium,medium,medium,low,high,medium,high,right,female,30-44,high
22626,BE,medium,medium,high,medium,medium,medium,low,high,medium,medium,right,male,60+,high
10644,BE,medium,high,medium,medium,low,high,low,medium,low,low,left,female,30-44,high
20228,BE,low,low,low,low,low,low,low,low,low,low,centre,female,45-59,low
11108,BE,high,high,high,medium,medium,medium,high,high,medium,medium,right,male,60+,high
26624,BE,low,low,high,low,low,medium,low,high,high,low,centre,male,45-59,high
19555,BE,low,low,medium,low,low,high,low,high,low,low,right,male,30-44,high
