"event_name","category","date","location","link"
"The Hornstull Market 2026","Fairs","May 16 - Sep 27","Hornstulls Strand","https://www.visitstockholm.com/events/hornstulls-marknad/next/"
"Folk music and dance evenings","Music","May 17","Skeppsholmens Folkhögskola/Föreningen Folkmusikhuset","https://www.visitstockholm.com/events/folkmusic-and-danceevenings-open-house-free-2/next/"
"The Viking World – the world’s largest Viking exhibition","Exhibitions","May 11 - Jan 1","Swedish History Museum","https://www.visitstockholm.com/events/the-viking-world-the-worlds-largest-viking-exhibit/next/"
"Opera: Madama Butterfly","Stage & Film","May 13","The Royal Swedish Opera","https://www.visitstockholm.com/events/madama-butterfly-opera-by-giacomo-puccini/next/"
"The Fredrik Roos Scholarship exhibition 2026: Kim Andreas Roland Berger – Accumulated Stacks","Exhibitions","May 11 - May 14","Artipelag","https://www.visitstockholm.com/events/the-fredrik-roos-scholarship-exhibition-2026-kim-a/next/"
"L'eraclito amoroso, listen All Lovers","Music","May 16","Panncentralen Gustavsberg","https://www.visitstockholm.com/events/leraclito-amoroso-listen-all-lovers/next/"
"Quarnevalen 2026","Festivals","May 16","KTH","https://www.visitstockholm.com/events/quarnevalen-2026/next/"
"Exhibition Scapes, by Alia Ali","Exhibitions","May 11 - May 17","House of Photography","https://www.visitstockholm.com/events/exhibition-scapes-by-alia-ali/next/"
"Soundscapes of Poland – The Swigut Sisters & Friends","Music","May 11","Konserthuset Stockholm","https://www.visitstockholm.com/events/soundscapes-of-poland-the-swigut-sisters-friends/next/"
"A tribute to the Mavericks","Music","May 11","Scalateatern","https://www.visitstockholm.com/events/a-tribute-to-the-mavericks/next/"
"Äventyrs – The adventure museum (pop-up)","Exhibitions","May 12 - Sep 30","Äventyrs","https://www.visitstockholm.com/events/aventyrs-the-adventure-museum/next/"
"& Juliet - The Musical","Stage & Film","May 11 - May 31","Cirkus","https://www.visitstockholm.com/events/juliet-the-musical/next/"
"Eurovision Final","Stage & Film","May 16","Stockholm Under Stjärnorna","https://www.visitstockholm.com/events/eurovision-final/next/"
"Street theater about Stockholm bloodbath","Stage & Film","May 16 - Jun 6","Gamla stan","https://www.visitstockholm.com/events/street-theatre-about-stockholm-bloodbath/next/"
"Thursday evenings at Nationalmuseum","Networking & Community","May 14 - Jun 11","Nationalmuseum","https://www.visitstockholm.com/events/thursday-evenings-at-nationalmuseum-2/next/"
"Quarnevalen 2026","Festivals","May 16","KTH","https://www.visitstockholm.com/events/quarnevalen-2026/next/"
"MUCHA – Beyond Art Nouveau","Exhibitions","May 11 - Sep 27","Artipelag","https://www.visitstockholm.com/events/mucha-beyond-art-nouveau/next/"
"Nordic Life","Exhibitions","May 11 - Dec 31","Nordiska museet","https://www.visitstockholm.com/events/nordic-life/next/"
"Pottery wheel throwing","Sports & Wellbeing","May 11 - Dec 31","Drejeriet","https://www.visitstockholm.com/events/pottery-wheel-throwing/next/"
"Flatenbastun – Lakeside Sauna Experience","Sports & Wellbeing","May 11 - Dec 31","Flatenbastun","https://www.visitstockholm.com/events/flatenbastun-lakeside-sauna-experience/next/"
"BAUHAUS-galan / Diamond League","Sports & Wellbeing","Jun 7","Stockholms Stadion","https://www.visitstockholm.com/events/bauhaus-galan-diamond-league/next/"
"Elitloppet 2026","Sports & Wellbeing","May 29 - May 31","Solvalla","https://www.visitstockholm.com/events/elitloppet-2026/next/"
"Olivia Dean - The Art of Loving","Music","May 17","Avicii Arena","https://www.visitstockholm.com/events/olivia-dean-the-art-of-loving/next/"
"NE-YO & AKON – Nights Like This Tour 2026","Music","May 23","Avicii Arena","https://www.visitstockholm.com/events/ne-yo-akon-nights-like-this-tour-2026/next/"
"LINKIN PARK","Music","May 29","3Arena","https://www.visitstockholm.com/events/linkin-park/next/"
"adidas Stockholm Marathon 2026","Sports & Wellbeing","May 30","Stockholm Olympic Stadium","https://www.visitstockholm.com/events/adidas-stockholm-marathon-2024/next/"
