"event_name","category","date","location","link","subpage_title","subpage_status","event_description","subpage_venue","street_address","postal_code","city","event_duration_type","lat","lon"
"LINKIN PARK","Music","May 29","3Arena","https://www.visitstockholm.com/events/linkin-park/next/","LINKIN PARK",200,"Linkin Park, who recently received the ""Favorite Rock Song"" award at the American Music Awards, can now confirm that their acclaimed From Zero World Tour will be extended with new selected European dates in 2026. The tour will kick off on Friday, May 29, with a highly anticipated concert at 3Arena in Stockholm – the band's only performance in the Nordic region next year.","3Arena","Arenaslingan 14","121 77","Johanneshov","Single-day event","59.2918230","18.0824050"
"Dermot Kennedy - Live at Annexet","Music","May 12","Annexet","https://www.visitstockholm.com/events/dermot-kennedy-live-at-annexet/next/","Dermot Kennedy - Live at Annexet",200,"In recent years, Dermot Kennedy has gone from being a busker on the street corners of Dublin to becoming one of the most beloved voices in the world. The journey is well-known but still remarkable. When you hear his raspy, almost weathered voice carry melodies filled with both fire and vulnerability, it’s easy to understand how everything happened so quickly.","Annexet","Arenatorget","121 77","Johanneshov","Single-day event","59.2929254","18.0824552"
"Olivia Dean - The Art of Loving","Music","May 17","Avicii Arena","https://www.visitstockholm.com/events/olivia-dean-the-art-of-loving/next/","Olivia Dean - The Art of Loving",200,"The Art of Loving","Avicii Arena","Arenatorget","121 77","Johanneshov","Single-day event","59.2929254","18.0824552"
"NE-YO & AKON – Nights Like This Tour 2026","Music","May 23","Avicii Arena","https://www.visitstockholm.com/events/ne-yo-akon-nights-like-this-tour-2026/next/","NE-YO & AKON – Nights Like This Tour 2026",200,"Photo: Robert Höglund","Avicii Arena","Arenatorget","121 77","Johanneshov","Single-day event","59.2929254","18.0824552"
"The Fredrik Roos Scholarship exhibition 2026: Kim Andreas Roland Berger – Accumulated Stacks","Exhibitions","May 12 - May 14","Artipelag","https://www.visitstockholm.com/events/the-fredrik-roos-scholarship-exhibition-2026-kim-a/next/","The Fredrik Roos Scholarship exhibition 2026: Kim Andreas Roland Berger – Accumulated Stacks",200,"The artist Kim Andreas Roland Berger has been awarded the Fredrik Roos Art Grant for 2026. In connection with the award, Artipelag presents Roland Berger’s grant exhibition, Accumulated Stacks. Kim Andreas Roland Berger (b. 1993 in Oslo) uses drawing, painting and sculpture in his material-based and process-oriented practice.","Artipelag","Artipelagstigen 1","134 40","Gustavsberg","Multi-day event","59.3069800","18.3520863"
"MUCHA – Beyond Art Nouveau","Exhibitions","May 12 - Sep 27","Artipelag","https://www.visitstockholm.com/events/mucha-beyond-art-nouveau/next/","MUCHA – Beyond Art Nouveau",200,"At the turn of the 20th century, Alphonse Mucha was one of the most famous artists in Europe. A key figure of Art Nouveau and the inventor of an original style of graphic art, his work combined female beauty and stylised nature with a resolutely innovative composition and typography. The “Mucha style” has been a source of fascination ever since it was created and was applied to a variety of artworks and objects that adorned art lovers’ homes around the world at the time. Welcome to an immersive experience for all ages!","Artipelag","Artipelagstigen 1","134 40","Gustavsberg","Multi-day event","59.3069800","18.3520863"
"Quarnevalen 2026","Festivals","May 16","KTH","https://www.visitstockholm.com/events/quarnevalen-2026/next/","Quarnevalen 2026",200,"Quarnevalen is one of Sweden’s most spectacular student events, a proud tradition of joy and creativity since 1910. Students from across Stockholm design and build their own creations and parade them before an audience of half a million spectators. It’s the birthplace of innovation and future leaders, even the King once took part as a builder! Quarnevalen is more than a celebration; it’s an essential part of Stockholm’s cultural life.","KTH","Brinellvägen 8","114 28","Stockholm","Single-day event","59.3498183","18.0707826"
"Eurovision Final","Stage & Film","May 16","Stockholm Under Stjärnorna","https://www.visitstockholm.com/events/eurovision-final/next/","Eurovision Final",200,"12 Points go to… SUS! Forget that worn-out couch at home, we’re taking Eurovision to a whole new level. The grand finale comes to life on the screens.","Stockholm Under Stjärnorna","Brunkebergstorg 2 - 4","111 51","Stockholm","Single-day event","59.3308384","18.0664244"
"Jazz Concert with Linus Lindblom Saxophone, Hans Olding Guitar, Hugo Löf Double Bass, Karl-Henrik Ousbäck Drums","Music","May 12","Glenn Miller Café","https://www.visitstockholm.com/events/jazzconcert-with-linus-lindblom-saxophone-hans-old/next/","Jazz Concert with Linus Lindblom Saxophone, Hans Olding Guitar, Hugo Löf Double Bass, Karl-Henrik Ousbäck Drums",200,"The restaurant opens at 6 pm, and the concert starts at 8 pm. If you want to have dinner, book a table, otherwise you are welcome to the bar to listen from there. The band plays 3 sets, and you pay 70 SEK per person for the set you listen to.","Glenn Miller Café","Brunnsgatan 21A","11138","Stockholm","Single-day event","59.3365088","18.0664710"
"L'eraclito amoroso, listen All Lovers","Music","May 16","Panncentralen Gustavsberg","https://www.visitstockholm.com/events/leraclito-amoroso-listen-all-lovers/next/","L'eraclito amoroso, listen All Lovers",200,"In this all-Italian program with Ensemble BaraBarock, tears, jealousy, desire, and ecstasy resonate. In the Venice of love, there is ""the Red Priest"" Antonio Vivaldi, one of the most significant composers of the Baroque era.","Panncentralen Gustavsberg","Chamottevägen 5","13440","Gustavsberg","Single-day event","59.3230406","18.3843616"
