"location","event_name","category","date","link","subpage_title","subpage_status","event_duration_type","lat","lon"
"3Arena","LINKIN PARK","Music","May 29","https://www.visitstockholm.com/events/linkin-park/next/","LINKIN PARK",200,"Single-day event","59.2910328","18.0845427"
"Artipelag","The Fredrik Roos Scholarship exhibition 2026: Kim Andreas Roland Berger – Accumulated Stacks","Exhibitions","May 11 - May 14","https://www.visitstockholm.com/events/the-fredrik-roos-scholarship-exhibition-2026-kim-a/next/","The Fredrik Roos Scholarship exhibition 2026: Kim Andreas Roland Berger – Accumulated Stacks",200,"Multi-day event","59.3066295","18.3464827"
"Artipelag","MUCHA – Beyond Art Nouveau","Exhibitions","May 11 - Sep 27","https://www.visitstockholm.com/events/mucha-beyond-art-nouveau/next/","MUCHA – Beyond Art Nouveau",200,"Multi-day event","59.3066295","18.3464827"
"Äventyrs","Äventyrs – The adventure museum (pop-up)","Exhibitions","May 12 - Sep 30","https://www.visitstockholm.com/events/aventyrs-the-adventure-museum/next/","Äventyrs – The adventure museum (pop-up)",200,"Multi-day event",NA,NA
"Avicii Arena","Olivia Dean - The Art of Loving","Music","May 17","https://www.visitstockholm.com/events/olivia-dean-the-art-of-loving/next/","Olivia Dean - The Art of Loving",200,"Single-day event","59.2936201","18.0832132"
"Avicii Arena","NE-YO & AKON – Nights Like This Tour 2026","Music","May 23","https://www.visitstockholm.com/events/ne-yo-akon-nights-like-this-tour-2026/next/","NE-YO & AKON – Nights Like This Tour 2026",200,"Single-day event","59.2936201","18.0832132"
"Cirkus","& Juliet - The Musical","Stage & Film","May 11 - May 31","https://www.visitstockholm.com/events/juliet-the-musical/next/","& Juliet - The Musical",200,"Multi-day event","59.3248756","18.0998659"
"Drejeriet","Pottery wheel throwing","Sports & Wellbeing","May 11 - Dec 31","https://www.visitstockholm.com/events/pottery-wheel-throwing/next/","Pottery wheel throwing",200,"Multi-day event","59.3388089","18.0145165"
"Flatenbastun","Flatenbastun – Lakeside Sauna Experience","Sports & Wellbeing","May 11 - Dec 31","https://www.visitstockholm.com/events/flatenbastun-lakeside-sauna-experience/next/","Flatenbastun – Lakeside Sauna Experience",200,"Multi-day event",NA,NA
"Gamla stan","Street theater about Stockholm bloodbath","Stage & Film","May 16 - Jun 6","https://www.visitstockholm.com/events/street-theatre-about-stockholm-bloodbath/next/","Street theater about Stockholm bloodbath",200,"Multi-day event","59.3251400","18.0716026"
"Hornstulls Strand","The Hornstull Market 2026","Fairs","May 16 - Sep 27","https://www.visitstockholm.com/events/hornstulls-marknad/next/","The Hornstull Market 2026",200,"Multi-day event","59.3144212","18.0328135"
"House of Photography","Exhibition Scapes, by Alia Ali","Exhibitions","May 11 - May 17","https://www.visitstockholm.com/events/exhibition-scapes-by-alia-ali/next/","Exhibition Scapes, by Alia Ali",200,"Multi-day event",NA,NA
"Konserthuset Stockholm","Soundscapes of Poland – The Swigut Sisters & Friends","Music","May 11","https://www.visitstockholm.com/events/soundscapes-of-poland-the-swigut-sisters-friends/next/","Soundscapes of Poland – The Swigut Sisters & Friends",200,"Single-day event","59.3350614","18.0631792"
"KTH","Quarnevalen 2026","Festivals","May 16","https://www.visitstockholm.com/events/quarnevalen-2026/next/","Quarnevalen 2026",200,"Single-day event","59.3498665","18.0706321"
"Nationalmuseum","Thursday evenings at Nationalmuseum","Networking & Community","May 14 - Jun 11","https://www.visitstockholm.com/events/thursday-evenings-at-nationalmuseum-2/next/","Thursday evenings at Nationalmuseum",200,"Multi-day event","59.3284983","18.0781214"
"Nordiska museet","Nordic Life","Exhibitions","May 11 - Dec 31","https://www.visitstockholm.com/events/nordic-life/next/","Nordic Life",200,"Multi-day event","59.3291464","18.0938900"
"Panncentralen Gustavsberg","L'eraclito amoroso, listen All Lovers","Music","May 16","https://www.visitstockholm.com/events/leraclito-amoroso-listen-all-lovers/next/","L'eraclito amoroso, listen All Lovers",200,"Single-day event","59.3230406","18.3843616"
